id;name;location;description;cost
1;Canadian program drive;ivory drive human-resource;THX;1259
2;Hat;technologies;generating;5725
3;zero;Handcrafted Future;recontextualize;8994
4;internet;Car quantifying;Infrastructure index;3369
5;heuristic;RAM;Iowa transform THX;3894
6;Dollar;Developer RSS Implemented;Accounts;3640
7;Pants white Beauty;RSS Gloves;program Austria;3975
8;Utah open-source deposit;Intelligent Incredible Multi-tiered;Pula National calculate;2660
9;Delaware bypass Proactive;synthesize;Pre-emptive;959
10;Alley Global Digitized;Granite toolset Puerto;Dollar;9627
